GeneID,treatment1,treatment2,treatment3,treatment4,treatment5,treatment6,treatment7,treatment8,treatment9
gene1,966.4905663,1056.362005,977.6634018,972.4215129,998.1829237,921.9074214,1259.545862,1126.672294,881.7024164
gene2,588.0648941,661.2749882,540.8859946,616.9846841,405.7830581,354.5797774,1129.971891,718.7861058,464.4753874
gene3,653.644343,576.6134845,607.8984187,621.2959125,637.969086,601.3673025,1011.979951,733.2887258,648.6639031
gene4,3049.98191,3240.018627,3381.734117,3661.190947,3805.029906,3843.644787,4469.21618,4656.247447,4174.672749
gene5,25.80175038,25.93235248,17.94975646,42.15423307,22.78461022,28.3663822,28.23120036,37.16296385,44.84589947
gene6,35.47740677,42.71210996,47.86601722,64.18940036,103.0732367,93.60906124,68.04443163,72.5131002,62.46393141
gene7,6105.339184,6414.443657,6144.799961,5217.544394,4559.092006,4324.454966,7360.380647,6613.194739,4874.589109
gene8,1347.066384,1321.78726,1392.901101,1474.440107,1523.31394,1673.61655,1620.036574,2151.826249,1994.040887
gene9,3844.460807,3921.124238,4071.004765,4311.707408,4547.15721,4707.401125,4504.68615,5015.187293,4605.513712
gene10,610.6414257,583.4779308,593.5386136,595.9075675,606.5046243,858.0830614,952.6220429,772.2645172,844.0638936
gene11,83.85568874,48.81383996,68.20907454,70.89575562,61.84394201,24.11142487,73.83544709,84.29647899,61.66311177
gene12,4.30029173,3.050864997,1.196650431,12.93368515,1.084981439,1.41831911,7.962646255,7.25131002,4.004098167
gene13,3.225218798,1.525432499,1.196650431,8.143431389,2.169962878,1.41831911,7.238769323,0,0.800819633
gene14,355.8491407,293.645756,378.1415361,399.9861888,476.3068516,429.7506903,443.0126826,535.6905278,415.6253897
gene15,60.20408422,58.7291512,62.22582239,68.02160337,60.75896057,28.3663822,34.02221582,49.85275639,32.83360497
gene16,5428.043236,4174.346033,5274.835098,4175.664201,3956.927307,2989.816683,3903.868296,4087.926024,2389.645786
gene17,509.58457,462.2060471,573.1955563,513.5152029,648.8189004,693.5580447,624.7057926,658.0563843,553.3663667
gene18,5262.482005,5920.966244,7373.759953,6928.623036,8131.935884,8756.702184,6999.166058,9998.650104,11016.07488
gene19,341.8731925,264.6625385,606.7017683,383.699326,698.7280466,1014.098163,381.4831433,572.8534916,1199.627811
gene20,366.59987,347.7986097,343.4386736,345.8563214,340.6841718,290.7554175,328.6401273,377.0681211,338.7467049
gene21,940.688816,973.9886504,941.7638889,945.1170665,1105.596086,1090.687395,1098.121306,1149.332638,1132.358962
gene22,10.75072933,7.627162494,9.573203445,16.76588815,6.509888633,0,5.067138526,0.906413753,4.8049178
gene23,63.42930302,61.01729995,58.6358711,73.76990788,83.54357079,62.40604083,61.52953924,76.13875521,82.48442224
gene24,30.10204211,11.44074374,22.73635818,38.32203007,28.20951741,12.76487199,26.78344649,32.63089509,24.024589
gene25,999.8178272,1028.141504,1042.282525,1234.448394,1256.408506,1185.714776,1426.761434,1494.676278,1275.705676
gene26,777.2777302,747.4619244,847.2285049,751.5908147,878.8349654,879.3578481,830.2868413,949.0151989,907.3286447
gene27,74.18003234,51.10198871,40.68611464,61.31524811,54.24907194,41.13125418,31.12670809,50.75917014,31.2319657
gene28,3217.693287,3807.479517,3442.763289,2959.418772,3304.853463,3704.649515,3520.213522,3547.703427,3621.306382
gene29,292.4198376,374.4936784,605.5051179,410.5247471,607.5896057,509.1765604,284.4836344,521.1879077,905.7270054
gene30,122.5583143,130.4244786,92.14208316,195.9213787,115.0080325,93.60906124,147.6708942,125.0850979,166.5704837
gene31,103.2070015,121.2718836,89.7487823,62.27329886,43.39925755,38.29461596,67.3205547,32.63089509,33.6344246
gene32,7.525510528,3.813581247,2.393300861,4.790253758,6.509888633,1.41831911,3.619384661,1.812827505,0
gene33,69.87974061,62.54273245,67.01242411,74.72795863,111.7530882,231.1860149,57.18627765,117.8337878,205.0098262
gene34,37.62755264,35.84766372,52.65261895,55.08791822,61.84394201,31.20302041,51.39526219,55.2912389,58.45983324
gene35,67.72959475,41.18667747,63.42247282,74.24893325,82.45858935,55.31444528,56.46240072,63.44896268,77.67950444
gene36,2553.298215,2661.87971,2279.61907,2246.149987,2322.94526,2245.199151,2247.637875,2082.938803,2059.708097
gene37,54.82871956,53.39013745,76.58562756,100.1163035,92.2234223,100.7006568,91.20849347,143.2133729,98.50081491
gene38,585.9147482,668.1394344,661.7476881,693.6287442,795.2913946,787.1671059,781.0632099,902.7880975,852.8729096
gene39,1409.420615,1513.229039,1268.449456,1105.111542,1252.06858,1140.328564,1277.642785,1097.667054,840.0597954
gene40,65.57944888,69.40717869,59.83252153,89.57774528,73.77873784,56.73276439,62.25341618,68.88744519,65.66720994
gene41,13.97594812,2.288148748,2.393300861,3.832203007,2.169962878,1.41831911,3.619384661,0.906413753,4.004098167
gene42,68.80466768,54.1528537,67.01242411,50.77668984,35.80438748,21.27478665,56.46240072,36.2565501,32.03278534
gene43,507.4344242,496.5282783,518.1496365,548.00503,451.3522785,353.1614583,464.7289905,391.5707411,361.1696547
gene44,17.20116692,18.30518998,25.12965904,32.09470018,42.31427611,8.509914659,23.16406183,34.4437226,39.24016204
gene45,4560.45938,5059.096882,4422.819992,4125.366537,4180.433484,4361.331263,4750.804307,4365.288632,4129.826849
gene46,295.6450564,266.187971,296.7693068,353.9997527,403.6130952,243.9508869,311.2670809,318.1512271,309.1163785
gene47,1117.000777,1000.683719,989.6299061,1014.096721,967.8034434,997.0783342,1149.516568,1102.199123,849.669631
gene48,432.1793189,394.3243009,416.4343499,533.1552433,594.5698285,618.3871319,601.5417307,680.7167282,587.0007913
gene49,1140.652381,1035.00595,1103.311697,1326.900291,1430.005536,1180.041499,1502.768511,1578.972757,1357.389279
gene50,49.4533549,32.79679872,33.50621206,49.81863909,28.20951741,14.1831911,18.09692331,15.40903379,24.024589
gene51,504.2092054,428.6465321,525.329539,574.3514256,801.8012833,673.7015771,555.937484,688.8744519,777.595864
gene52,161.2609399,168.5602911,211.8071262,181.5506174,197.4666219,212.7478665,191.1035101,208.4751631,218.6237599
gene53,4896.957208,4870.705968,4284.008542,3790.527799,2899.070405,3064.987596,3772.122694,2545.209817,3021.492477
gene54,17.20116692,29.74593372,32.30956163,29.22054793,48.82416475,18.43814843,18.82080024,19.94110256,29.63032644
gene55,477.332382,564.4100245,606.7017683,500.5815177,758.4020257,683.6298109,552.3180993,651.7114881,756.7745536
gene56,245.1166286,248.6454973,240.5267366,220.3516729,265.8204525,312.0302041,236.7077569,251.0766095,225.8311366
gene57,131.1588978,112.8820049,161.5478081,155.2042218,237.6109351,255.2974398,161.4245559,225.6970244,279.4860521
gene58,481.6326738,602.545837,510.9697339,506.8088476,531.640905,428.3323712,548.6987147,507.5917014,426.036045
gene59,483.7828196,564.4100245,534.9027425,605.0090497,718.2577125,713.4145122,589.2358229,774.0773447,809.6286494
gene60,137.6093354,160.1704124,117.2717422,131.252953,149.7274386,129.067039,128.8500939,161.341648,139.3426162
gene61,106.4322203,96.86496367,87.35548143,42.15423307,83.54357079,102.1189759,55.73852379,71.60668645,136.1393377
gene62,793.4038242,943.4800004,831.6720493,791.8289463,1022.052515,988.5684195,889.6447498,897.349615,849.669631
gene63,11.82580226,11.44074374,8.376553014,14.37076128,9.764832949,11.34655288,8.686523187,17.2218613,14.4147534
gene64,140.8345542,105.2548424,143.5980517,124.0675723,141.047587,120.5571243,114.3725553,112.3953053,124.9278628
gene65,418.2033708,394.3243009,451.1372123,360.2270826,440.5024642,317.7034806,340.9460351,363.4719148,349.9581798
gene66,1397.594812,1361.448505,1273.236058,1575.035436,844.1155594,736.107618,697.0934858,567.4150091,941.7638889
gene67,70.95481355,44.23754246,55.04591981,94.36799904,54.24907194,43.9678924,76.73095482,74.32592771,61.66311177
gene68,933.1633054,886.2762817,974.0734505,1022.240152,1079.556532,1153.093436,1158.926969,1262.634357,1091.51716
gene69,38.70262557,29.74593372,34.70286249,33.05275093,22.78461022,19.85646754,38.36547741,38.06937761,55.25655471
gene70,339.7230467,252.4590785,283.6061521,467.0497414,427.4826869,338.9782672,504.5422218,705.1898995,370.7794903
gene71,1157.853548,954.1580279,1007.579663,1374.802829,1214.09423,1643.831848,1274.747278,1420.35035,1496.731895
gene72,75.25510528,80.84792243,75.38897713,107.7807096,64.01390489,42.54957329,41.98486207,38.97579136,44.84589947
gene73,2416.763952,2272.894423,2124.054514,2195.373297,2225.296931,2019.686412,2999.746007,2508.953267,1811.454011
gene74,68.80466768,69.40717869,65.81577368,74.24893325,79.20364503,75.17091282,55.73852379,87.01572024,88.09015967
gene75,9.675656393,12.20345999,16.75310603,18.68198966,23.86959165,11.34655288,26.05956956,28.09882633,20.82131047
gene76,159.110794,155.5941149,202.2339228,198.795531,156.2373272,116.302167,146.9470173,112.3953053,134.5376984
gene77,115.0328038,96.86496367,112.4851405,140.3544351,100.9032738,58.1510835,83.96972414,86.10930649,103.3057327
gene78,864.3586377,919.0730805,1013.562915,1104.153491,1222.774082,1174.368223,1006.912813,1211.875187,1317.348297
gene79,1133.126871,1018.226193,1096.131794,1083.5554,1188.054675,1041.046227,1137.934538,1121.233812,1060.285195
gene80,1387.919156,1387.380858,1339.051832,1385.820412,1322.592374,1296.343666,1803.901315,1646.047375,1541.577794
gene81,3003.753773,3508.494747,2967.693068,2555.60038,2969.594198,3076.334149,2990.335607,2625.880641,2377.633492
gene82,371.9752347,382.1208409,387.7147395,412.919874,442.672427,381.5278405,351.8041891,377.0681211,373.1819492
gene83,301.0204211,248.6454973,272.8362982,257.7156522,382.9984479,307.7752468,219.3347105,241.1060582,273.079495
gene84,2369.460743,2798.405919,2450.740082,2027.235391,2542.111511,2411.142487,2351.152276,2207.117487,1941.186791
gene85,2611.352153,2324.759128,2252.09611,2075.616953,2570.321029,2270.728895,2346.809014,2405.622099,1907.552367
gene86,231.1406805,242.5437673,252.4932409,249.0931954,281.0101927,211.3295474,209.9243104,167.6865442,188.9934335
gene87,65.57944888,77.03434118,90.94543273,108.2597349,69.43881208,70.91595549,75.28320096,69.79385895,91.29343821
gene88,148.3600647,155.5941149,195.0540202,196.4004041,316.8145801,269.4806309,128.8500939,208.4751631,200.2049084
gene89,1046.045963,1015.938044,1018.349516,991.1035026,1091.491327,1385.69777,1180.643277,985.271749,912.9343821
gene90,40.85277144,32.79679872,34.70286249,60.83622273,54.24907194,25.52974398,37.64160048,56.19765266,60.06147251
gene91,8.60058346,0,0,5.74830451,1.084981439,0,1.447753865,0,0.800819633
gene92,584.8396753,601.7831207,599.5218657,433.9969905,390.593318,611.2955363,439.3932979,416.0439124,624.6393141
gene93,7580.339247,8581.320521,9751.504359,9660.504754,6663.955997,3290.500335,5814.903397,4918.201021,6449.000508
gene94,14657.54436,21005.96822,25908.67847,17312.93513,19747.74717,13215.89746,14990.76739,12425.11972,17807.02537
gene95,2977.952023,3780.021732,4078.184668,4526.310776,3254.944316,1609.79219,1994.280948,1949.695982,3415.495736
gene96,78714.68997,70729.72867,124972.1877,90923.32756,148694.5362,135538.8291,82194.77791,103479.8196,143722.2988
gene97,1061.096984,1250.091933,1300.759018,1268.938221,1611.197437,1492.071703,1431.104695,1337.866699,1684.924509
gene98,268.7682331,263.137106,347.0286249,446.9306757,461.1171115,329.0500335,377.8637586,502.1532189,471.6827641
gene99,1439.522657,1746.620211,1806.94215,1543.419761,1160.93014,1280.742156,986.6442587,871.0636162,1826.669584
gene100,1458.873969,1726.789589,1404.867606,1428.932696,1306.317652,1316.200134,1805.349069,1369.59118,1105.931914
